Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG100826.001,sp|Q9WTU6|MK09_MOUSE,Mitogen-activated protein kinase 9 OS=Mus musculus GN=Mapk9 PE=1 SV=2,Mapk9,Q9WTU6
SJPG100695.001,sp|Q9WTX5|SKP1_MOUSE,S-phase kinase-associated protein 1 OS=Mus musculus GN=Skp1 PE=1 SV=3,Skp1,Q9WTX5
SJPG101514.001,sp|Q9WTX6|CUL1_MOUSE,Cullin-1 OS=Mus musculus GN=Cul1 PE=1 SV=1,Cul1,Q9WTX6
SJPG105167.001,sp|Q9WU40|MAN1_MOUSE,Inner nuclear membrane protein Man1 OS=Mus musculus GN=Lemd3 PE=1 SV=2,Lemd3,Q9WU40
SJPG109903.001,sp|Q9WU62|INCE_MOUSE,Inner centromere protein OS=Mus musculus GN=Incenp PE=1 SV=2,Incenp,Q9WU62
SJPG101585.001,sp|Q9WU78|PDC6I_MOUSE,Programmed cell death 6-interacting protein OS=Mus musculus GN=Pdcd6ip PE=1 SV=3,Pdcd6ip,Q9WU78
SJPG103340.001,sp|Q9WU79|PROD_MOUSE,"Proline dehydrogenase 1, mitochondrial OS=Mus musculus GN=Prodh PE=1 SV=2",Prodh,Q9WU79
SJPG106355.001,sp|Q9WU84|CCS_MOUSE,Copper chaperone for superoxide dismutase OS=Mus musculus GN=Ccs PE=2 SV=1,Ccs,Q9WU84
SJPG103932.001,sp|Q9WUA2|SYFB_MOUSE,Phenylalanine--tRNA ligase beta subunit OS=Mus musculus GN=Farsb PE=2 SV=2,Farsb,Q9WUA2
SJPG100626.001,sp|Q9WUA3|PFKAP_MOUSE,"ATP-dependent 6-phosphofructokinase, platelet type OS=Mus musculus GN=Pfkp PE=1 SV=1",Pfkp,Q9WUA3
SJPG110417.001,sp|Q9WUA5|EPM2A_MOUSE,Laforin OS=Mus musculus GN=Epm2a PE=1 SV=2,Epm2a,Q9WUA5
SJPG107323.001,sp|Q9WUB0|HOIL1_MOUSE,RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Mus musculus GN=Rbck1 PE=1 SV=2,Rbck1,Q9WUB0
SJPG100798.001,sp|Q9WUB3|PYGM_MOUSE,"Glycogen phosphorylase, muscle form OS=Mus musculus GN=Pygm PE=1 SV=3",Pygm,Q9WUB3
SJPG103998.001,sp|Q9WUK2|IF4H_MOUSE,Eukaryotic translation initiation factor 4H OS=Mus musculus GN=Eif4h PE=1 SV=3,Eif4h,Q9WUK2
SJPG100524.001,sp|Q9WUL7|ARL3_MOUSE,ADP-ribosylation factor-like protein 3 OS=Mus musculus GN=Arl3 PE=1 SV=1,Arl3,Q9WUL7
SJPG101696.001,sp|Q9WUM3|COR1B_MOUSE,Coronin-1B OS=Mus musculus GN=Coro1b PE=1 SV=1,Coro1b,Q9WUM3
SJPG101864.001,sp|Q9WUM4|COR1C_MOUSE,Coronin-1C OS=Mus musculus GN=Coro1c PE=1 SV=2,Coro1c,Q9WUM4
SJPG102260.001,sp|Q9WUM5|SUCA_MOUSE,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Mus musculus GN=Suclg1 PE=1 SV=4",Suclg1,Q9WUM5
SJPG101582.001,sp|Q9WUP7|UCHL5_MOUSE,Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Mus musculus GN=Uchl5 PE=1 SV=2,Uchl5,Q9WUP7
SJPG102965.001,sp|Q9WUQ2|PREB_MOUSE,Prolactin regulatory element-binding protein OS=Mus musculus GN=Preb PE=1 SV=1,Preb,Q9WUQ2
SJPG100962.001,sp|Q9WUR2|ECI2_MOUSE,"Enoyl-CoA delta isomerase 2, mitochondrial OS=Mus musculus GN=Eci2 PE=1 SV=2",Eci2,Q9WUR2
SJPG100678.001,sp|Q9WUR9|KAD4_MOUSE,"Adenylate kinase 4, mitochondrial OS=Mus musculus GN=Ak4 PE=1 SV=1",Ak4,Q9WUR9
SJPG103853.001,sp|Q9WUT3|KS6A2_MOUSE,Ribosomal protein S6 kinase alpha-2 OS=Mus musculus GN=Rps6ka2 PE=1 SV=1,Rps6ka2,Q9WUT3
SJPG107740.001,sp|Q9WUU9|GANP_MOUSE,Germinal-center associated nuclear protein OS=Mus musculus GN=Mcm3ap PE=1 SV=2,Mcm3ap,Q9WUU9
SJPG121154.001,sp|Q9WUZ5|TNNI1_MOUSE,"Troponin I, slow skeletal muscle OS=Mus musculus GN=Tnni1 PE=2 SV=3",Tnni1,Q9WUZ5
SJPG120337.001,sp|Q9WUZ7|SH3BG_MOUSE,SH3 domain-binding glutamic acid-rich protein OS=Mus musculus GN=Sh3bgr PE=2 SV=1,Sh3bgr,Q9WUZ7
SJPG100434.001,sp|Q9WV02|RBMX_MOUSE,"RNA-binding motif protein, X chromosome OS=Mus musculus GN=Rbmx PE=1 SV=1",Rbmx,Q9WV02
SJPG114267.001,sp|Q9WV06|ANKR2_MOUSE,Ankyrin repeat domain-containing protein 2 OS=Mus musculus GN=Ankrd2 PE=1 SV=3,Ankrd2,Q9WV06
SJPG108435.001,sp|Q9WV27|AT1A4_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-4 OS=Mus musculus GN=Atp1a4 PE=1 SV=3,Atp1a4,Q9WV27
SJPG104409.001,sp|Q9WV32|ARC1B_MOUSE,Actin-related protein 2/3 complex subunit 1B OS=Mus musculus GN=Arpc1b PE=2 SV=4,Arpc1b,Q9WV32
SJPG114300.001,sp|Q9WV35|ABEC2_MOUSE,Probable C->U-editing enzyme APOBEC-2 OS=Mus musculus GN=Apobec2 PE=1 SV=1,Apobec2,Q9WV35
SJPG101163.001,sp|Q9WV54|ASAH1_MOUSE,Acid ceramidase OS=Mus musculus GN=Asah1 PE=1 SV=1,Asah1,Q9WV54
SJPG100653.001,sp|Q9WV55|VAPA_MOUSE,Vesicle-associated membrane protein-associated protein A OS=Mus musculus GN=Vapa PE=1 SV=2,Vapa,Q9WV55
SJPG103856.001,sp|Q9WV60|GSK3B_MOUSE,Glycogen synthase kinase-3 beta OS=Mus musculus GN=Gsk3b PE=1 SV=2,Gsk3b,Q9WV60
SJPG114360.001,sp|Q9WV71|ASB4_MOUSE,Ankyrin repeat and SOCS box protein 4 OS=Mus musculus GN=Asb4 PE=1 SV=1,Asb4,Q9WV71
SJPG106125.001,sp|Q9WV76|AP4B1_MOUSE,AP-4 complex subunit beta-1 OS=Mus musculus GN=Ap4b1 PE=2 SV=2,Ap4b1,Q9WV76
SJPG100389.001,sp|Q9WV80|SNX1_MOUSE,Sorting nexin-1 OS=Mus musculus GN=Snx1 PE=1 SV=1,Snx1,Q9WV80
SJPG103982.001,sp|Q9WV86|KTNA1_MOUSE,Katanin p60 ATPase-containing subunit A1 OS=Mus musculus GN=Katna1 PE=1 SV=1,Katna1,Q9WV86
SJPG106170.001,sp|Q9WV91|FPRP_MOUSE,Prostaglandin F2 receptor negative regulator OS=Mus musculus GN=Ptgfrn PE=1 SV=2,Ptgfrn,Q9WV91
SJPG100600.007,sp|Q9WV92-7|E41L3_MOUSE,Isoform 7 of Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3,Epb41l3,Q9WV92-7
SJPG100600.001,sp|Q9WV92|E41L3_MOUSE,Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3 PE=1 SV=1,Epb41l3,Q9WV92
SJPG106606.001,sp|Q9WV95|PHLA3_MOUSE,Pleckstrin homology-like domain family A member 3 OS=Mus musculus GN=Phlda3 PE=1 SV=1,Phlda3,Q9WV95
SJPG104344.001,sp|Q9WV98|TIM9_MOUSE,Mitochondrial import inner membrane translocase subunit Tim9 OS=Mus musculus GN=Timm9 PE=1 SV=1,Timm9,Q9WV98
SJPG102668.001,sp|Q9WVA3|BUB3_MOUSE,Mitotic checkpoint protein BUB3 OS=Mus musculus GN=Bub3 PE=2 SV=2,Bub3,Q9WVA3
SJPG100546.001,sp|Q9WVA4|TAGL2_MOUSE,Transgelin-2 OS=Mus musculus GN=Tagln2 PE=1 SV=4,Tagln2,Q9WVA4
SJPG102843.001,sp|Q9WVD5|ORNT1_MOUSE,Mitochondrial ornithine transporter 1 OS=Mus musculus GN=Slc25a15 PE=1 SV=1,Slc25a15,Q9WVD5
SJPG104573.001,sp|Q9WVE8|PACN2_MOUSE,Protein kinase C and casein kinase substrate in neurons protein 2 OS=Mus musculus GN=Pacsin2 PE=1 SV=1,Pacsin2,Q9WVE8
SJPG104350.001,sp|Q9WVG6|CARM1_MOUSE,Histone-arginine methyltransferase CARM1 OS=Mus musculus GN=Carm1 PE=1 SV=2,Carm1,Q9WVG6
SJPG109185.001,sp|Q9WVH9|FBLN5_MOUSE,Fibulin-5 OS=Mus musculus GN=Fbln5 PE=2 SV=1,Fbln5,Q9WVH9
SJPG100815.001,sp|Q9WVJ2|PSD13_MOUSE,26S proteasome non-ATPase regulatory subunit 13 OS=Mus musculus GN=Psmd13 PE=1 SV=1,Psmd13,Q9WVJ2
SJPG100179.001,sp|Q9WVK4|EHD1_MOUSE,EH domain-containing protein 1 OS=Mus musculus GN=Ehd1 PE=1 SV=1,Ehd1,Q9WVK4
SJPG101608.001,sp|Q9WVL0|MAAI_MOUSE,Maleylacetoacetate isomerase OS=Mus musculus GN=Gstz1 PE=1 SV=1,Gstz1,Q9WVL0
SJPG102120.001,sp|Q9WVR4|FXR2_MOUSE,Fragile X mental retardation syndrome-related protein 2 OS=Mus musculus GN=Fxr2 PE=1 SV=1,Fxr2,Q9WVR4
SJPG102926.001,sp|Q9Z0E0|NCDN_MOUSE,Neurochondrin OS=Mus musculus GN=Ncdn PE=1 SV=1,Ncdn,Q9Z0E0
SJPG102745.001,sp|Q9Z0E6|GBP2_MOUSE,Interferon-induced guanylate-binding protein 2 OS=Mus musculus GN=Gbp2 PE=1 SV=1,Gbp2,Q9Z0E6
SJPG100806.001,sp|Q9Z0F7|SYUG_MOUSE,Gamma-synuclein OS=Mus musculus GN=Sncg PE=1 SV=1,Sncg,Q9Z0F7
SJPG101756.001,sp|Q9Z0G0|GIPC1_MOUSE,PDZ domain-containing protein GIPC1 OS=Mus musculus GN=Gipc1 PE=1 SV=1,Gipc1,Q9Z0G0
SJPG111602.001,sp|Q9Z0G2|SRPK3_MOUSE,SRSF protein kinase 3 OS=Mus musculus GN=Srpk3 PE=2 SV=1,Srpk3,Q9Z0G2
SJPG102320.001,sp|Q9Z0H3|SNF5_MOUSE,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Mus musculus GN=Smarcb1 PE=1 SV=1,Smarcb1,Q9Z0H3
SJPG102170.010,sp|Q9Z0H4-11|CELF2_MOUSE,Isoform 11 of CUGBP Elav-like family member 2 OS=Mus musculus GN=Celf2,Celf2,Q9Z0H4-11
SJPG102144.001,sp|Q9Z0H8|CLIP2_MOUSE,CAP-Gly domain-containing linker protein 2 OS=Mus musculus GN=Clip2 PE=1 SV=2,Clip2,Q9Z0H8
SJPG100331.001,sp|Q9Z0J4|NOS1_MOUSE,"Nitric oxide synthase, brain OS=Mus musculus GN=Nos1 PE=1 SV=1",Nos1,Q9Z0J4
SJPG101860.001,sp|Q9Z0N1|IF2G_MOUSE,"Eukaryotic translation initiation factor 2 subunit 3, X-linked OS=Mus musculus GN=Eif2s3x PE=1 SV=2",Eif2s3x,Q9Z0N1
SJPG100930.001,sp|Q9Z0P4|PALM_MOUSE,Paralemmin-1 OS=Mus musculus GN=Palm PE=1 SV=1,Palm,Q9Z0P4
SJPG101629.001,sp|Q9Z0P5|TWF2_MOUSE,Twinfilin-2 OS=Mus musculus GN=Twf2 PE=1 SV=1,Twf2,Q9Z0P5
SJPG100790.001,sp|Q9Z0R4|ITSN1_MOUSE,Intersectin-1 OS=Mus musculus GN=Itsn1 PE=1 SV=2,Itsn1,Q9Z0R4
SJPG102073.001,sp|Q9Z0R6|ITSN2_MOUSE,Intersectin-2 OS=Mus musculus GN=Itsn2 PE=1 SV=2,Itsn2,Q9Z0R6
SJPG106713.001,sp|Q9Z0S1|BPNT1_MOUSE,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Mus musculus GN=Bpnt1 PE=1 SV=2",Bpnt1,Q9Z0S1
SJPG102422.001,sp|Q9Z0U1|ZO2_MOUSE,Tight junction protein ZO-2 OS=Mus musculus GN=Tjp2 PE=1 SV=2,Tjp2,Q9Z0U1
SJPG107845.001,sp|Q9Z0V7|TI17B_MOUSE,Mitochondrial import inner membrane translocase subunit Tim17-B OS=Mus musculus GN=Timm17b PE=2 SV=1,Timm17b,Q9Z0V7
SJPG101543.001,sp|Q9Z0X1|AIFM1_MOUSE,"Apoptosis-inducing factor 1, mitochondrial OS=Mus musculus GN=Aifm1 PE=1 SV=1",Aifm1,Q9Z0X1
SJPG102518.001,sp|Q9Z0Y1|DCTN3_MOUSE,Dynactin subunit 3 OS=Mus musculus GN=Dctn3 PE=2 SV=2,Dctn3,Q9Z0Y1
SJPG102400.001,sp|Q9Z108|STAU1_MOUSE,Double-stranded RNA-binding protein Staufen homolog 1 OS=Mus musculus GN=Stau1 PE=2 SV=1,Stau1,Q9Z108
SJPG102898.001,sp|Q9Z130|HNRDL_MOUSE,Heterogeneous nuclear ribonucleoprotein D-like OS=Mus musculus GN=Hnrnpdl PE=1 SV=1,Hnrnpdl,Q9Z130
SJPG106382.001,sp|Q9Z188|DYR1B_MOUSE,Dual specificity tyrosine-phosphorylation-regulated kinase 1B OS=Mus musculus GN=Dyrk1b PE=1 SV=3,Dyrk1b,Q9Z188
SJPG102448.001,sp|Q9Z1D1|EIF3G_MOUSE,Eukaryotic translation initiation factor 3 subunit G OS=Mus musculus GN=Eif3g PE=1 SV=2,Eif3g,Q9Z1D1
SJPG103651.001,sp|Q9Z1E4|GYS1_MOUSE,"Glycogen [starch] synthase, muscle OS=Mus musculus GN=Gys1 PE=1 SV=2",Gys1,Q9Z1E4
SJPG102043.001,sp|Q9Z1F9|SAE2_MOUSE,SUMO-activating enzyme subunit 2 OS=Mus musculus GN=Uba2 PE=1 SV=1,Uba2,Q9Z1F9
SJPG100322.001,sp|Q9Z1G3|VATC1_MOUSE,V-type proton ATPase subunit C 1 OS=Mus musculus GN=Atp6v1c1 PE=1 SV=4,Atp6v1c1,Q9Z1G3
SJPG101390.001,sp|Q9Z1G4|VPP1_MOUSE,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Mus musculus GN=Atp6v0a1 PE=1 SV=3,Atp6v0a1,Q9Z1G4
SJPG101688.001,sp|Q9Z1J3|NFS1_MOUSE,"Cysteine desulfurase, mitochondrial OS=Mus musculus GN=Nfs1 PE=2 SV=3",Nfs1,Q9Z1J3
SJPG108150.001,sp|Q9Z1K5|ARI1_MOUSE,E3 ubiquitin-protein ligase ARIH1 OS=Mus musculus GN=Arih1 PE=1 SV=3,Arih1,Q9Z1K5
SJPG108821.001,sp|Q9Z1K6|ARI2_MOUSE,E3 ubiquitin-protein ligase ARIH2 OS=Mus musculus GN=Arih2 PE=1 SV=1,Arih2,Q9Z1K6
SJPG104009.001,sp|Q9Z1M4|KS6B2_MOUSE,Ribosomal protein S6 kinase beta-2 OS=Mus musculus GN=Rps6kb2 PE=1 SV=1,Rps6kb2,Q9Z1M4
SJPG101991.001,sp|Q9Z1N5|DX39B_MOUSE,Spliceosome RNA helicase Ddx39b OS=Mus musculus GN=Ddx39b PE=1 SV=1,Ddx39b,Q9Z1N5
SJPG100729.001,sp|Q9Z1P6|NDUA7_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus GN=Ndufa7 PE=1 SV=3,Ndufa7,Q9Z1P6
SJPG106987.001,sp|Q9Z1P7|KANK3_MOUSE,KN motif and ankyrin repeat domain-containing protein 3 OS=Mus musculus GN=Kank3 PE=2 SV=1,Kank3,Q9Z1P7
SJPG102409.001,sp|Q9Z1Q2|ABHGA_MOUSE,Abhydrolase domain-containing protein 16A OS=Mus musculus GN=Abhd16a PE=1 SV=3,Abhd16a,Q9Z1Q2
SJPG102465.001,sp|Q9Z1Q5|CLIC1_MOUSE,Chloride intracellular channel protein 1 OS=Mus musculus GN=Clic1 PE=1 SV=3,Clic1,Q9Z1Q5
SJPG101997.001,sp|Q9Z1Q9|SYVC_MOUSE,Valine--tRNA ligase OS=Mus musculus GN=Vars PE=2 SV=1,Vars,Q9Z1Q9
SJPG101384.001,sp|Q9Z1R2|BAG6_MOUSE,Large proline-rich protein BAG6 OS=Mus musculus GN=Bag6 PE=1 SV=1,Bag6,Q9Z1R2
SJPG104352.001,sp|Q9Z1R4|CF047_MOUSE,Uncharacterized protein C6orf47 homolog OS=Mus musculus GN=D17h6s53e PE=2 SV=1,D17h6s53e,Q9Z1R4
SJPG103206.001,sp|Q9Z1T1|AP3B1_MOUSE,AP-3 complex subunit beta-1 OS=Mus musculus GN=Ap3b1 PE=1 SV=2,Ap3b1,Q9Z1T1
SJPG109918.001,sp|Q9Z1T2|TSP4_MOUSE,Thrombospondin-4 OS=Mus musculus GN=Thbs4 PE=1 SV=1,Thbs4,Q9Z1T2
SJPG109570.001,sp|Q9Z1W8|AT12A_MOUSE,Potassium-transporting ATPase alpha chain 2 OS=Mus musculus GN=Atp12a PE=1 SV=3,Atp12a,Q9Z1W8
SJPG106818.001,sp|Q9Z1X2|PTSS2_MOUSE,Phosphatidylserine synthase 2 OS=Mus musculus GN=Ptdss2 PE=2 SV=2,Ptdss2,Q9Z1X2
SJPG100602.001,sp|Q9Z1X4|ILF3_MOUSE,Interleukin enhancer-binding factor 3 OS=Mus musculus GN=Ilf3 PE=1 SV=2,Ilf3,Q9Z1X4
SJPG101444.001,sp|Q9Z1Z0|USO1_MOUSE,General vesicular transport factor p115 OS=Mus musculus GN=Uso1 PE=1 SV=2,Uso1,Q9Z1Z0
SJPG101698.001,sp|Q9Z1Z2|STRAP_MOUSE,Serine-threonine kinase receptor-associated protein OS=Mus musculus GN=Strap PE=1 SV=2,Strap,Q9Z1Z2
SJPG100612.001,sp|Q9Z204|HNRPC_MOUSE,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Mus musculus GN=Hnrnpc PE=1 SV=1,Hnrnpc,Q9Z204
SJPG105233.001,sp|Q9Z210|PX11B_MOUSE,Peroxisomal membrane protein 11B OS=Mus musculus GN=Pex11b PE=1 SV=1,Pex11b,Q9Z210
SJPG102581.004,sp|Q9Z224|MOC2A_MOUSE,Molybdopterin synthase sulfur carrier subunit OS=Mus musculus GN=Mocs2 PE=2 SV=1,Mocs2,Q9Z224
SJPG106989.001,sp|Q9Z239|PLM_MOUSE,Phospholemman OS=Mus musculus GN=Fxyd1 PE=1 SV=1,Fxyd1,Q9Z239
SJPG104977.001,sp|Q9Z277|BAZ1B_MOUSE,Tyrosine-protein kinase BAZ1B OS=Mus musculus GN=Baz1b PE=1 SV=2,Baz1b,Q9Z277
SJPG103819.001,sp|Q9Z2A0|PDPK1_MOUSE,3-phosphoinositide-dependent protein kinase 1 OS=Mus musculus GN=Pdpk1 PE=1 SV=2,Pdpk1,Q9Z2A0
SJPG103840.001,sp|Q9Z2A5|ATE1_MOUSE,Arginyl-tRNA--protein transferase 1 OS=Mus musculus GN=Ate1 PE=1 SV=2,Ate1,Q9Z2A5
SJPG108896.001,sp|Q9Z2A7|DGAT1_MOUSE,Diacylglycerol O-acyltransferase 1 OS=Mus musculus GN=Dgat1 PE=1 SV=1,Dgat1,Q9Z2A7
SJPG108849.001,sp|Q9Z2A9|GGT5_MOUSE,Gamma-glutamyltransferase 5 OS=Mus musculus GN=Ggt5 PE=2 SV=2,Ggt5,Q9Z2A9
SJPG106199.001,sp|Q9Z2B9|KS6A4_MOUSE,Ribosomal protein S6 kinase alpha-4 OS=Mus musculus GN=Rps6ka4 PE=1 SV=2,Rps6ka4,Q9Z2B9
SJPG101781.001,sp|Q9Z2C4|MTMR1_MOUSE,Myotubularin-related protein 1 OS=Mus musculus GN=Mtmr1 PE=1 SV=1,Mtmr1,Q9Z2C4
SJPG102783.001,sp|Q9Z2C5|MTM1_MOUSE,Myotubularin OS=Mus musculus GN=Mtm1 PE=1 SV=2,Mtm1,Q9Z2C5
SJPG104738.001,sp|Q9Z2C8|YBOX2_MOUSE,Y-box-binding protein 2 OS=Mus musculus GN=Ybx2 PE=1 SV=1,Ybx2,Q9Z2C8
SJPG103218.001,sp|Q9Z2D0|MTMR9_MOUSE,Myotubularin-related protein 9 OS=Mus musculus GN=Mtmr9 PE=2 SV=2,Mtmr9,Q9Z2D0
SJPG100987.001,sp|Q9Z2D6|MECP2_MOUSE,Methyl-CpG-binding protein 2 OS=Mus musculus GN=Mecp2 PE=1 SV=1,Mecp2,Q9Z2D6
SJPG107514.001,sp|Q9Z2G1|FM1AA_MOUSE,Protein fem-1 homolog A-A OS=Mus musculus GN=Fem1aa PE=2 SV=1,Fem1aa,Q9Z2G1
SJPG103434.001,sp|Q9Z2G6|SE1L1_MOUSE,Protein sel-1 homolog 1 OS=Mus musculus GN=Sel1l PE=2 SV=2,Sel1l,Q9Z2G6
SJPG101542.001,sp|Q9Z2G9|HTAI2_MOUSE,Oxidoreductase HTATIP2 OS=Mus musculus GN=Htatip2 PE=1 SV=3,Htatip2,Q9Z2G9
SJPG101455.001,sp|Q9Z2I0|LETM1_MOUSE,"LETM1 and EF-hand domain-containing protein 1, mitochondrial OS=Mus musculus GN=Letm1 PE=2 SV=1",Letm1,Q9Z2I0
SJPG101006.001,sp|Q9Z2I8|SUCB2_MOUSE,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Suclg2 PE=1 SV=3",Suclg2,Q9Z2I8
SJPG101010.001,sp|Q9Z2I9|SUCB1_MOUSE,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Sucla2 PE=1 SV=2",Sucla2,Q9Z2I9
SJPG104585.001,sp|Q9Z2L6|MINP1_MOUSE,Multiple inositol polyphosphate phosphatase 1 OS=Mus musculus GN=Minpp1 PE=1 SV=3,Minpp1,Q9Z2L6
SJPG101361.001,sp|Q9Z2M6|UBL3_MOUSE,Ubiquitin-like protein 3 OS=Mus musculus GN=Ubl3 PE=1 SV=1,Ubl3,Q9Z2M6
SJPG103105.001,sp|Q9Z2M7|PMM2_MOUSE,Phosphomannomutase 2 OS=Mus musculus GN=Pmm2 PE=1 SV=1,Pmm2,Q9Z2M7
SJPG103018.001,sp|Q9Z2N8|ACL6A_MOUSE,Actin-like protein 6A OS=Mus musculus GN=Actl6a PE=1 SV=2,Actl6a,Q9Z2N8
SJPG104094.001,sp|Q9Z2P8|VAMP5_MOUSE,Vesicle-associated membrane protein 5 OS=Mus musculus GN=Vamp5 PE=1 SV=1,Vamp5,Q9Z2P8
SJPG100154.001,sp|Q9Z2Q5|RM40_MOUSE,"39S ribosomal protein L40, mitochondrial OS=Mus musculus GN=Mrpl40 PE=2 SV=2",Mrpl40,Q9Z2Q5
SJPG109231.001,sp|Q9Z2T6|KRT85_MOUSE,"Keratin, type II cuticular Hb5 OS=Mus musculus GN=Krt85 PE=2 SV=2",Krt85,Q9Z2T6
SJPG100640.001,sp|Q9Z2U0|PSA7_MOUSE,Proteasome subunit alpha type-7 OS=Mus musculus GN=Psma7 PE=1 SV=1,Psma7,Q9Z2U0
SJPG101140.001,sp|Q9Z2U1|PSA5_MOUSE,Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1,Psma5,Q9Z2U1
SJPG110307.001,sp|Q9Z2U2|ZN292_MOUSE,Zinc finger protein 292 OS=Mus musculus GN=Zfp292 PE=1 SV=2,Zfp292,Q9Z2U2
SJPG102963.001,sp|Q9Z2W0|DNPEP_MOUSE,Aspartyl aminopeptidase OS=Mus musculus GN=Dnpep PE=2 SV=2,Dnpep,Q9Z2W0
SJPG101654.001,sp|Q9Z2W1|STK25_MOUSE,Serine/threonine-protein kinase 25 OS=Mus musculus GN=Stk25 PE=1 SV=2,Stk25,Q9Z2W1
SJPG104212.001,sp|Q9Z2X1|HNRPF_MOUSE,Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus GN=Hnrnpf PE=1 SV=3,Hnrnpf,Q9Z2X1
SJPG101141.002,sp|Q9Z2Y3-2|HOME1_MOUSE,Isoform 2 of Homer protein homolog 1 OS=Mus musculus GN=Homer1,Homer1,Q9Z2Y3-2
SJPG101141.001,sp|Q9Z2Y3|HOME1_MOUSE,Homer protein homolog 1 OS=Mus musculus GN=Homer1 PE=1 SV=2,Homer1,Q9Z2Y3
SJPG101881.001,sp|Q9Z2Y8|PROSC_MOUSE,Proline synthase co-transcribed bacterial homolog protein OS=Mus musculus GN=Prosc PE=1 SV=1,Prosc,Q9Z2Y8
SJPG102608.001,sp|Q9Z2Z6|MCAT_MOUSE,Mitochondrial carnitine/acylcarnitine carrier protein OS=Mus musculus GN=Slc25a20 PE=1 SV=1,Slc25a20,Q9Z2Z6
SJPG109259.001,sp|Q9Z2Z9|GFPT2_MOUSE,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 OS=Mus musculus GN=Gfpt2 PE=2 SV=3,Gfpt2,Q9Z2Z9
SJPG103702.001,sp|Q9Z321|TOP3B_MOUSE,DNA topoisomerase 3-beta-1 OS=Mus musculus GN=Top3b PE=2 SV=1,Top3b,Q9Z321
SJPG103510.001,sp|Q9Z329|ITPR2_MOUSE,"Inositol 1,4,5-trisphosphate receptor type 2 OS=Mus musculus GN=Itpr2 PE=1 SV=4",Itpr2,Q9Z329
SJPG108987.001,sp|Q9Z331|K2C6B_MOUSE,"Keratin, type II cytoskeletal 6B OS=Mus musculus GN=Krt6b PE=2 SV=3",Krt6b,Q9Z331
SJPG100878.001,tr|A0A023T672|A0A023T672_MOUSE,RNA-binding protein 8A OS=Mus musculus GN=RBM8 PE=1 SV=1,RBM8,A0A023T672
SJPG117534.001,tr|A0A075B5M7|A0A075B5M7_MOUSE,Protein Igkv5-39 OS=Mus musculus GN=Igkv5-39 PE=4 SV=2,Igkv5-39,A0A075B5M7
SJPG117551.001,tr|A0A075B5N3|A0A075B5N3_MOUSE,Protein Igkv8-28 OS=Mus musculus GN=Igkv8-28 PE=4 SV=2,Igkv8-28,A0A075B5N3
SJPG117481.001,tr|A0A075B5P2|A0A075B5P2_MOUSE,Protein Igkc OS=Mus musculus GN=Igkc PE=4 SV=1,Igkc,A0A075B5P2
SJPG117376.001,tr|A0A075B5P3|A0A075B5P3_MOUSE,Protein Ighg2b OS=Mus musculus GN=Ighg2b PE=4 SV=1,Ighg2b,A0A075B5P3
SJPG117380.001,tr|A0A075B5U2|A0A075B5U2_MOUSE,Protein Ighv1-15 OS=Mus musculus GN=Ighv1-15 PE=4 SV=1,Ighv1-15,A0A075B5U2
SJPG117386.001,tr|A0A075B5U8|A0A075B5U8_MOUSE,Protein Ighv1-23 OS=Mus musculus GN=Ighv1-23 PE=4 SV=1,Ighv1-23,A0A075B5U8
SJPG117423.001,tr|A0A075B5Y4|A0A075B5Y4_MOUSE,Protein Ighv1-81 OS=Mus musculus GN=Ighv1-81 PE=4 SV=1,Ighv1-81,A0A075B5Y4
SJPG117410.001,tr|A0A075B680|A0A075B680_MOUSE,Protein Ighv1-62-2 OS=Mus musculus GN=Ighv1-62-2 PE=4 SV=1,Ighv1-62-2,A0A075B680
SJPG117374.001,tr|A0A075B6A3|A0A075B6A3_MOUSE,Protein Igha OS=Mus musculus GN=Igha PE=4 SV=1,Igha,A0A075B6A3
